问题,是否有效,评判依据
40条装的,是,可能询问产品
能上40条装的吗,是,提问商品信息
刚买就降价,是,反映购物体验
还不能保价,是,提问适合直播
678有无优惠,是,询问商品优惠
送的定制洗脸巾和杯子啥样,是,提问商品细节
在哪里领130元优惠券,是,询问优惠信息
面霜适合敏感肌吗,是,提问适合直播
怎么领劵,是,适合电商提问
1136呢，介绍一下,是,提问商品信息
46墨盒,是,询问产品信息
有货吗,是,询问商品存货
主播是机器人吗,是,提问主播身份
高中生可以用吗？,是,提问适合直播
有优惠劵吗,是,询问优惠信息
是真人吗,是,提问适合直播
我这会是在直播间还是看的回放？,是,提问适合直播
好吧，好像是在直播中,是,语义清晰
真会降低成本呀,是,适合电商环境
2支473ml的,是,询问产品规格
女性需要什么护肤品,是,提问适合直播
是哪个链接,是,询问直播链接
黄褐斑可以用吗？,是,提问适合直播
完犊子，还真不如真人,否,含贬义词汇
有赠品吗？,是,提问适合直播
黄褐斑可以用吗,是,提问适合直播
那个1积分+0.01的怎么弄,是,提问电商操作
什么时候上真人,是,询问直播内容
发什么快递,是,提问快递事宜
有的没货了,是,询问商品情况
光感美白淡斑和高能美白淡斑有什么区别,是,提问内容相关
哺乳期可以用美白奶罐吗,是,提问适合直播
光感和高能有什么区别？,是,提问内容相关
啥时候解答,是,提问直播内容
问那么多次都不解答,是,提问有效
光感和高能美白有什么区别？,是,提问适合直播
黄褐斑用哪个？,是,提问产品信息
40岁干皮偏黄,是,提问肤质适用
有推荐吗？,是,提问适合直播
有单独的链接吗,是,询问购买链接
讲下明星长管@CPB,是,提问产品信息
有初中生用的不,是,提问适合直播
油皮有闭口，选哪款,是,提问适合直播
乳液在几号连接,是,询问产品链接
眼贴,是,询问产品信息
推荐几号链接,是,询问商品链接
白千推荐几号链接,是,询问商品链接
请问这个牌子是哪个国家的,是,提问适合直播
请问4825可以自己加墨吗？,是,提问适合直播
亲我皮肤特别敏感，一般的化妆品不赶用，这个化妆品我能用吗,是,提问适合直播
现在什么优惠,是,询问优惠信息
18岁用什么好,是,提问适合直播
b110a,否,内容无实际意义
来了来了,是,观众打招呼
数字人,是,询问数字人直播
买了买了,是,表达购买行为
真划算,是,评论内容适宜
优惠券领了,是,反映观众互动
还不错,是,语义清晰适合
眼霜有没有活动,是,提问商品活动
主播的是豆沙色吗,是,提问适合直播环境
啊啊啊我来了,是,观众表达到场
好的，我自己看看,是,观众可能咨询
想要去斑和收毛孔的,是,提问适合直播
下单十天了，还没发货,是,询问发货情况
看下646,是,询问商品信息
646口红,是,询问产品信息
货收到了,是,反馈收货情况
售后服务不好,是,反馈售后问题
应该要上门安装好才可以,是,适合电商提问
可以远程怎么打印,是,提问适合直播
今天都是双倍积分吗,是,适合电商提问
赠品怎么领,是,提问领取赠品
家里用推荐哪款,是,提问适合直播
3636用的那个墨盒,是,询问产品信息
这款打印机有带线的吗？,是,提问适合直播
家人么,是,语义清晰适合
是一面打印完再把纸吃进去再打另一面吗？,是,提问内容相关
ai？,否,内容含糊不清
买泡沫洁面的赠品有什么,是,提问适合直播环境
有优惠吗,是,询问优惠情况
快递,否,内容不明确
一看就是AI,否,内容无实际意义
快递公司,否,内容不明确
到货时间,是,询问发货时间
赠品,是,可能询问赠品
您好,是,普通问候语
发什么快递,是,询问物流信息
高中生买哪种,是,提问适合直播
一共多少片338这链接,是,可能询问商品
好用吗？,是,提问适合直播
有什么推荐,是,提问适合直播
什么时候发货的,是,提问发货时间
当时买的时候说送个水杯，是吧？,是,提问送货事宜
买完了，是可以抽奖是吗？,是,提问适合直播环境
年前买的，好的,是,反馈购买体验
什么发券,是,询问优惠信息
什么时候发券,是,适合电商提问
中午在直播间买的，除了赠品，说是可以抽奖,是,提及购买与抽奖
都拍一个星期了还不发货,是,发货咨询
这不是直播吧？,是,提问直播性质
都拍一个星期了,是,内容相关
洗手液加手油,是,提问产品信息
下单后多久送货,是,适合电商提问
惠普4729专用墨盒有吗？,是,适合电商提问
卫生巾420的推荐哪个,是,询问产品推荐
可以上门安装吗？,是,适合提问
这是ia？,否,内容含糊
518和528有什么区别,是,提问商品区别
518和528的区别,是,提问商品差异
现在下单,是,适合电商环境
能保价吗？,是,适合电商提问
直播下单礼物怎么拿,是,适合电商提问
现在买3.4能保价吗,是,适合电商提问
为什么每次一买，价格又掉两百,是,提问价格变动
感觉自己又买早了几天,是,反映购买体验
才买了2530一套，现在2330,是,价格变动咨询
哎,否,内容过于简略
下单送墨是吗,是,提问适合直播
抗老是哪天,否,内容不明确
芥末,否,内容不明确
588怎么没有绑定的二维码,是,询问商品信息
讲下白金眼霜,是,提问产品信息
3630墨盒是哪个链接？,是,询问商品链接
主播专属券怎么领不到？,是,提问适合直播环境
就是个机器人，直什么播,是,询问数字人直播
啥时候八折,是,询问折扣时间
厨房一次性洗碗布有活动吗,是,询问商品活动
现在下单送帆布袋吗？,是,提问有关促销
1210可以连接手机打印？,是,提问产品功能
A3的打印复印多少钱,是,提问适合直播
家用哪款好用,是,提问适合直播
6703+599免单,否,无实际意义
0935+599免单,否,无实际意义
有优惠嘛？,是,询问优惠情况
M17,否,内容不明确
家用是激光合适还是喷墨合适,是,提问适合直播环境
洗面奶有吗？,是,提问商品信息
娇韵诗双萃眼霜没有吗,是,提问商品信息
满299送什么礼包,是,提问适合直播
有没有彩色的,是,提问商品信息
但不是双面,否,语义不明确
还有抽奖吗,是,询问活动情况
什么时候抽奖,是,提问抽奖时间
这是机器人吗,是,提问适合直播
隔离有防晒效果吗,是,提问适合直播
咋像扣图,是,提问商品细节
兔肉的是多少钱？,是,询问商品价格
看看441,是,询问商品信息
有卷嘛,否,内容不明确
可以抽奖吗,是,适合直播环境
洗脸巾三八节什么活动？,是,询问节日活动
直播下单需要备注什么,是,提问适合直播环境
美白精华,是,提问产品信息
美白精华介绍,是,适合电商直播
怎么抽奖呢,是,提问适合直播
油皮用哪种？,是,提问适合直播
看一下依泉唇膏,是,提问产品信息
妈呀，ai直播？？,是,表达惊讶
拍哪款,是,询问产品款式
有没有耳机,是,提问适合直播
机器人嘛,是,询问数字人直播
ai主播？,是,提问主播身份
悬油赠送的面膜怎么领,是,提问领取方式
怎么抽奖,是,提问抽奖方法
皮肤爱出油，毛孔粗大,是,提问适合直播
请问22和30有什么区别呢？,是,提问适合直播
咋抽奖,是,询问抽奖方式
得优惠劵加小助微娮号,否,含广告嫌疑
脸部容易发红，请推荐,是,提问适合直播
脸部容易发红买些什么,是,提问适合直播
干皮卸妆水有吗？,是,提问适合直播
兰蔻小白管买50送50ml吗？,是,提问适合直播
机器人？,是,询问数字人直播
直播间拍三套满八百送什么？,是,提问适合直播环境
下单已满三百,是,表明购买行为
是ai直播吗,是,提问适合直播
暗黄，干皮用哪个？,是,提问产品适用性
还有抽奖吗,是,询问活动情况
97块钱的口红还会有吗,是,询问商品信息
250g和550g有啥不一样呀,是,提问产品差异
高光香槟色啥时候补货呀,是,询问商品补货
女士可以用吗,是,适合提问
清新帮拉拉裤有卷吗,是,询问产品信息
NB码的,是,询问产品信息
下单已满300备注一下赠品,是,提及购买赠品
JD666U领优恵劵加小筯微軐,否,含广告嫌疑
面部发红发烫,是,可能询问产品效果
家人们都在等500-570的券吗,是,询问优惠券
有242吗,是,询问产品信息
录屏的吗,是,提问直播内容
得优惠劵加小助Jd000X微娮号,否,含广告嫌疑
请问油皮买什么c乳呀,是,提问适合直播
今能嘛，动耳咯啵,否,内容无实际意义
考试打印的,否,内容不相关
感觉主播是ai,是,提出疑问
还能抽奖吗,是,提问适合直播
录播吗？,是,提问直播状态
自然白皙肤色选哪个,是,提问适合直播
油皮适合什么霜啊？,是,提问适合直播
这个沐浴露可以每天用吗？,是,提问适合直播
这款蓝瓶都卖十几年了,是,评论内容相关
暗号备注什么,否,内容不明确
得优惠劵加小助微娮号,否,涉嫌广告
得优叀+微娮号,否,内容不明确
ai啊？,否,内容含糊
399-100的券啥时候上啊,是,询问优惠券信息
怎么拍比较划算,是,提问适合直播
充500得570,是,适合电商环境
因为触发关键词了,否,内容含糊
直播间专属优惠券在哪领,是,提问适合直播环境
直播间备注,否,内容不明确
直播间下单福利,是,适合电商直播
直播间暗号是什么？,是,提问适合直播环境
我,否,内容过于简略
护发精油送小瓶的护发精油吗,是,提问产品详情
满500怎么领光感面膜啊,是,提问适合直播
哪里购物袋报名,是,询问购物信息
清新帮xl拉拉裤怎么拍划算,是,提问购买优惠
32链接直接买吗？,是,询问购买链接
呵呵，居然睡了一觉,否,内容无实际意义
现在没有嘛,否,内容无实际意义
我刚下单了,是,观众购买行为
八点没有时间看直播,否,无实际意义
不是满459送面膜,是,询问优惠政策
几年前有款粉色的干粉很好用，现在升级成哪款了,是,提问产品升级
你是不是ai,是,询问数字人直播
购物车置顶在哪里,是,适合电商提问
满赠在哪里,是,适合电商提问
好高档啊,是,评论积极且恰当
有人吗,否,内容无实际意义
互,否,内容不明确
为什么没人回答,是,提问内容有效
没有满赠啊,是,询问活动情况
推荐洁面,是,适合电商环境
人工吗,是,提问适合直播
右上方哪里有券啊[-傻笑],是,询问优惠信息
399-100的券在哪？,是,询问优惠券
不是赠奶冻面膜吗,是,提问商品信息
洗面奶哦,是,询问产品信息
我没有啊,否,内容不明确
推荐一下清洁洗面奶,是,提问适合直播
送男的那个好点,是,提问适合直播
满赠怎么看,是,提问适合直播
下单了没有,是,提问适合直播
能不能正常回答一下,是,提问内容适宜
我知道啊,否,内容过于简短
没人回答？,是,提问等待回答
呜呜呜,否,无实际意义
有水吗,是,提问适合直播
油皮适合吗,是,提问适用性
下单抽小卡?,是,提问适合直播
给力,是,正面鼓励性质
哺乳期可以用吗,是,提问适合直播
直播间下单有什么赠品吗,是,提问适合直播
